Site,Location,Reference,Ryear,P,Q,I,ET,Category,LongCategory,LongRef
Lake Five-O,FL,Pollman et al.,1991,,0,48,52,Natural lake,Natural lake,"Pollman et al (1991), reported in Lent et al (1997)"
Lake Barco,FL,Pollman et al.,1991,,0,34,66,Natural lake,Natural lake,"Pollman et al (1991), reported in Lent et al (1997)"
Devils Lake,ND,Wiche,1992,,0,0,100,Natural lake,Natural lake,"Wiche (1992), reported in Lent et al (1997)"
BIOECODS 2007,Malaysia,Ayub,2010,1409,99,0,1,Constructed wetland,Constructed series,"Ayub, Zakaria, Abdullah, Ramli (2010)"
BIOECODS 2009,Malaysia,Ayub,2010,2753,99,0,1,Constructed wetland,Constructed series,"Ayub, Zakaria, Abdullah, Ramli (2010)"
DPRWDP EW3 1990,IL,Hey,1994,830,95,0,5,Constructed wetland,Constructed series,"Hey, Barrett and Biegen (1994), P estimated"
DPRWDP EW3 1991,IL,Hey,1994,780,92,1,7,Constructed wetland,Constructed series,"Hey, Barrett and Biegen (1994), P estimated"
DPRWDP EW4 1990,IL,Hey,1994,830,79,0,21,Constructed wetland,Constructed series,"Hey, Barrett and Biegen (1994), P estimated"
DPRWDP EW4 1991,IL,Hey,1994,780,67,3,30,Constructed wetland,Constructed series,"Hey, Barrett and Biegen (1994), P estimated"
DPRWDP EW5 1990,IL,Hey,1994,830,89,6,5,Constructed wetland,Constructed series,"Hey, Barrett and Biegen (1994), P estimated"
DPRWDP EW5 1991,IL,Hey,1994,780,63,30,6,Constructed wetland,Constructed series,"Hey, Barrett and Biegen (1994), P estimated"
DPRWDP EW6 1990,IL,Hey,1994,830,8,83,9,Constructed wetland,Constructed series,"Hey, Barrett and Biegen (1994), P estimated"
DPRWDP EW6 1991,IL,Hey,1994,780,10,70,21,Constructed wetland,Constructed series,"Hey, Barrett and Biegen (1994), P estimated"
