Country,Type,Name, Q ,I,ET,sum,Notes,Reference,Check,Year
EST,Green Roof,"Tartu, Estonia",11,0,89,100,Cumulative retention for two light events compared with a control roof,Teemusk and Mander (2007),x,2007
EST,Green Roof,"Tartu, Estonia",81,0,19,100,Cumulative retention for one snowmelt event compared with a control roof,Teemusk and Mander (2007),x,2007
CAN,Green Roof,"York University, Toronto, Canada",37,0,63,100,Average retention over two years relative to control,TRCA (2006),,2006
CAN,Green Roof,Toronto test roofs,46,0,54,100,Cumulative retention for 2003,Van Seters et al (2009),x,2003
CAN,Green Roof,Toronto test roofs,25,0,75,100,Cumulative retention for 2004,Van Seters et al (2009),x,2004
CAN,Green Roof,Toronto test roofs,25,0,75,100,Cumulative retention for 2005,Van Seters et al (2009),x,2005
CAN,Control Roof,Control for Toronto test roofs,98,0,2,100,Cumulative retention over 3 years,Van Seters et al (2009),x,2009
USA,Control Roof,Summer Model Control,100,0,0,100,"Calculated estimates from model baseline parameters in tables 1,2, and baseline runoff results from Fig 2",Vanuytrecht et al (2014),x,2014
USA,Control Roof,Winter Model Control,100,0,0,100,"Calculated estimates from model baseline parameters in tables 1,2, and baseline runoff results from Fig 2",Vanuytrecht et al (2014),x,2014
USA,GR Model,Summer Model GH,11,4,85,100,"Calculated estimates from model baseline parameters in tables 1,2, and baseline runoff results from Fig 2",Vanuytrecht et al (2014),x,2014
USA,GR Model,Winter Model GH,78,7,15,100,"Calculated estimates from model baseline parameters in tables 1,2, and baseline runoff results from Fig 2",Vanuytrecht et al (2014),x,2014
USA,GR Model,Summer Model SM,18,4,78,100,"Calculated estimates from model baseline parameters in tables 1,2, and baseline runoff results from Fig 2",Vanuytrecht et al (2014),x,2014
USA,GR Model,Winter Model SM,80,6,14,100,"Calculated estimates from model baseline parameters in tables 1,2, and baseline runoff results from Fig 2",Vanuytrecht et al (2014),x,2014
USA,Blue Roof,"East Lansing, MI Gravel ballast platform",73,0,27,100,Cumulative retention over 14 months,VanWoert et al. (2005),x,2005
USA,Blue Roof,"East Lansing, MI Media only platform",50,0,50,100,Cumulative retention over 14 months,VanWoert et al. (2005),x,2005
USA,Lab Scale GR,"East Lansing, MI Vegetated platform",39,0,61,100,Cumulative retention over 14 months,VanWoert et al. (2005),x,2005
DEU,Green Roof,German Study by Kohler (2002),30,0,70,100,Average of cited range,Villarreal and Bengtsson (2005),x,2002
USA,Green Roof,Study by Scholz-Barth (2001),25,0,75,100,Extensive roof,Villarreal and Bengtsson (2005),x,2001
SVG,Lab Scale GR,"tilted roof sections Lund, Sweden",65,0,35,100,Average of values from table 2,Villarreal and Bengtsson (2005),x,2005
NZL,Green Roof,"University of Auckland, New Zealand",18,0,82,100,Event-Based Median retention,Voyde et al. (2010),x,2010
NZL,Green Roof,"University of Auckland, New Zealand",34,0,66,100,Cumulative retention for one year,Voyde et al. (2010),x,2010
USA,Green Roof,"Villanova University, Philadelphia, PA",29,3,68,100,Cumulative retention for 2009 growing season,Wadzuk et al (2013),x,2009
USA,Green Roof,"Villanova University, Philadelphia, PA",17,0,83,100,"Cumulative retention for 2010 growing season, I estimated as 0",Wadzuk et al (2013),x,2010
USA,Green Roof,"Villanova University, Philadelphia, PA",26,1,73,100,Cumulative retention for 2011 growing season,Wadzuk et al (2013),x,2011
